compound_name,SMILES,inchikey,ESI_mode,logRF_original,isotope_correction,organic_modifier,organic_pc,vendor,instrument_model,mass_analyzer,ESI_source,eluent_composition,publication,doi,viscosity,surface_tension,polarity_index,pH.aq.,NH4,logP,apKa1,apKa2,bpKa1,bpKa2
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epicatechin,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3,PFTAWBLQPZVEMU-AFYYWNPRSA-N,positive,-0.373938701,119.2744886,MeCN,12.90909091,Agilent,SL series MS detector,Q,ESI,"12.9% MeCN 0.1% formic acid, 87.1% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923174217,50.0654612,9.632,2.6,0,1.8,9,9.62,-3.29,-4.92
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epigallocatechin gallate,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4,WMBWREPUVVBILR-WIYYLYMNSA-N,positive,-0.53921453,130.1160945,MeCN,13.36363636,Agilent,SL series MS detector,Q,ESI,"13.4% MeCN 0.1% formic acid, 86.6% 0.1% formic acid",Bedner,10.1021/ac200372d,0.923914568,49.47815829,9.612,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Gallocatechin gallate,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-NQIIRXRSSA-N,positive,-0.314581339,130.1160945,MeCN,14.45454545,Agilent,SL series MS detector,Q,ESI,"14.5% MeCN 0.1% formic acid, 85.5% 0.1% formic acid",Bedner,10.1021/ac200372d,0.925516325,48.11347654,9.564,2.6,0,3.08,7.99,8.72,-5.42,-5.47
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
Epicatechin gallate,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4,LSHVYAFMTMFKBA-FPOVZHCZSA-N,positive,-0.368143128,129.8236048,MeCN,54.8,Agilent,SL series MS detector,Q,ESI,"54.8% MeCN 0.1% formic acid, 45.2% 0.1% formic acid",Bedner,10.1021/ac200372d,0.811141629,30.13521005,7.7888,2.6,0,3.38,8.03,8.9,-4.92,-5.42
"myristic acyl chain (a.c.), M, 14:0",CCCCCCCCCCCCCC(O)=O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,positive,-0.469280616,116.9395732,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,5.37,4.95,NA,NA,NA
"palmitoleica.c., Po, 16:1",CCCCCC/C=C\CCCCCCCC(O)=O,SECPZKHBENQXJG-FPLPWBNLSA-N,positive,0.111945096,119.4649634,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,5.89,4.99,NA,NA,NA
"palmitic a.c., P, 16:0",CCCCCCCCCCCCCCCC(O)=O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,positive,0.384378516,119.4879661,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,6.26,4.95,NA,NA,NA
"linolenic a.c., Ln, 18:3",CC/C=C/C/C=C/C/C=C/CCCCCCCC(O)=O,DTOSIQBPPRVQHS-IUQGRGSQSA-N,positive,0,122.1173853,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,6.06,4.99,NA,NA,NA
"linoleica.c., L, 18:2;",CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,positive,0.227265868,122.1403879,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,6.42,4.99,NA,NA,NA
"oleic a.c., O, 18:1",CCCCCCCC/C=C\CCCCCCCC(O)=O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,positive,0.648628981,122.1633905,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,6.78,4.99,NA,NA,NA
"stearic a.c., S, 18:0",CCCCCCCCCCCCCCCCCC(O)=O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,positive,0.298042614,122.1863932,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,7.15,4.95,NA,NA,NA
"arachidic a.c., A, 20:0",CCCCCCCCCCCCCCCCCCCC(O)=O,VKOBVWXKNCXXDE-UHFFFAOYSA-N,positive,0.221561093,124.8693633,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,8.03,4.95,NA,NA,NA
"gadoleic a.c., Ga,20:1",CCCCCCCCCC/C=C\CCCCCCCC(O)=O,LQJBNNIYVWPHFW-QXMHVHEDSA-N,positive,0.144153826,124.8463607,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,7.67,4.99,NA,NA,NA
21:00,CCCCCCCCCCCCCCCCCCCCC(O)=O,CKDDRHZIAZRDBW-UHFFFAOYSA-N,positive,0.527512944,126.3416545,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,8.48,4.95,NA,NA,NA
"behenic a.c., B, 22:0",CCCCCCCCCCCCCCCCCCCCCC(O)=O,UKMSUNONTOPOIO-UHFFFAOYSA-N,positive,0.272558175,127.7291557,MeOH,100,AB Sciex,QTrap 4000,LIT-QQQ,ESI,100% MeOH,Byrdwell,10.1016/j.chroma.2013.10.031,0.5091461,22.12,5.1,7,0,8.92,4.95,NA,NA,NA
